Field,Definition,
ID,Unique customer identifier,
Age,Customer’s age,
Experience,Number of years of professional experience,
Income,Annual income of the customer (in thousands USD),
Family,Family size of the customer,
CCAvg,Average spending on credit cards per month (in thousands USD),
Education ,Education level,
Mortgage,"Value of mortgage held with Universal Bank, if any (in thousands USD)",
CD Account,"Does the customer have a certificate of deposit (CD) account with the bank? (1= yes, 0 = no)",
Online,"Does the customer use internet banking facilities? (1= yes, 0 = no)",
CreditCard,"Does the customer use a credit card issued by Universal Bank? (1= yes, 0 = no)",
Personal Loan,"Did this customer accept the personal loan offered in the last campaign? (1= yes, 0= no)",
,,
